Bestbuy_name,Bestbuy_sku,Bestbuy_price,Bestbuy_link
"Dell 31.5"" 4K Ultra HD 60Hz 4ms GTG Curved VA LED FreeSync Monitor (S3221QS) - Platinum Silver",17233653,499.99,https://www.bestbuy.ca/en-ca/product/17233653
Dell UltraSharp 32 6K Monitor - ﻿U3224KB,17154911,3319.99,https://www.bestbuy.ca/en-ca/product/17154911
"Dell 24"" FHD 60 Hz 8 ms GTG LED Monitor - Black - (E2417H)",10749722,288.38,https://www.bestbuy.ca/en-ca/product/10749722
"Dell 24"" FHD 73 Hz 5 ms GTG LED Monitor - Black - (E2418HN)",11622492,269.94,https://www.bestbuy.ca/en-ca/product/11622492
"Dell 27"" S2721H Full HD LED Monitor",15325349,378.99,https://www.bestbuy.ca/en-ca/product/15325349
Dell 27 Inch Monitor - S2721HS,16617367,407.59,https://www.bestbuy.ca/en-ca/product/16617367
"Dell S2421H 24 Inch Full HD 1080p Monitor, IPS Ultra-Thin Bezel, 2 x HDMI Ports, Built-in Speakers, Silver",16618485,329.99,https://www.bestbuy.ca/en-ca/product/16618485
Dell 27 Curved Gaming Monitor – S2722DGM,15891263,431.5,https://www.bestbuy.ca/en-ca/product/15891263
"DELL 23.8"" FHD 60Hz 8ms, 5ms GTG IPS LCD G-Sync Gaming Monitor (DELL-C2422HE)",16652596,515.0,https://www.bestbuy.ca/en-ca/product/16652596
"Dell S2721Q 27 Inch 4K UHD, IPS Ultra-Thin Bezel Monitor, AMD FreeSync, HDMI, DisplayPort, VESA Certified, Silver",16617376,599.0,https://www.bestbuy.ca/en-ca/product/16617376
15Ft Computer Power Cord 18AWG TV Power Cord NEMA 5-15P to C13 Ac Power Cord for Tv Computer Pc Monitor Samsung Dell,17116681,20.99,https://www.bestbuy.ca/en-ca/product/17116681
6FT/1.8M 3 Prong Monitor Computer TV Power Cord Replacement for Samsung Sony Dell Toshiba Vizio BenQ Acer Asus,17116267,10.0,https://www.bestbuy.ca/en-ca/product/17116267
Dell E2318HR 23-Inch LED-Backlit Flat Panel LCD Monitor,17278284,299.0,https://www.bestbuy.ca/en-ca/product/17278284
6Ft Computer Power Cord 18AWG TV Power Cord NEMA 5-15P to C13 Ac Power Cord for Tv Computer Pc Monitor Samsung Dell,17116515,10.0,https://www.bestbuy.ca/en-ca/product/17116515
"Dell 240Hz Gaming Monitor 24.5 Inch Full HD Monitor with IPS Technology, Antiglare Screen, Dark Metallic Grey - S2522HG",17186216,549.0,https://www.bestbuy.ca/en-ca/product/17186216
6Ft Computer Power Cord 18AWG TV Power Cord NEMA 5-15P to C13 Ac Power Cord for Tv Computer Pc Monitor Samsung Dell,17117586,10.0,https://www.bestbuy.ca/en-ca/product/17117586
Dell P Series 23-Inch Screen LED-lit Monitor (P2319H),17212349,349.99,https://www.bestbuy.ca/en-ca/product/17212349
"Dell 24 Monitor - P2422H - Full HD 1080p, IPS Technology, Comfortview Plus Technology",17236353,299.0,https://www.bestbuy.ca/en-ca/product/17236353
"Dell 24 Monitor - P2422H - Full HD 1080p, IPS Technology, Comfortview Plus Technology",17247967,299.0,https://www.bestbuy.ca/en-ca/product/17247967
"Dell 22 Monitor - P2222H - Full HD 1080p, IPS Technology",17542831,329.99,https://www.bestbuy.ca/en-ca/product/17542831
"Dell P2418HZm 23.8"" IPS Monitor (P2418HZM) with Wire Straps, Dust Blower, and Microfiber Cloth (2 - Pack)",15805623,619.95,https://www.bestbuy.ca/en-ca/product/15805623
"Dell P2418HZm 23.8"" IPS Monitor (P2418HZM) with Wire Straps, Dust Blower, and Microfiber Cloth (5 - Pack)",15806725,1544.95,https://www.bestbuy.ca/en-ca/product/15806725
Dell SE2722HX Monitor - 27 inch FHD Monitor,16237373,277.0,https://www.bestbuy.ca/en-ca/product/16237373
Dell P2418HZm 23.8 Inch IPS Computer Monitor for Video Conferencing - 2 Pack Bundle (2 Screens),15938179,619.95,https://www.bestbuy.ca/en-ca/product/15938179
"Dell 27 USB-C Monitor - 1440p WQHD, 99% sRGB, IPS Panel",17150661,553.89,https://www.bestbuy.ca/en-ca/product/17150661
Dell 27 USB-C Hub Monitor - P2725HE,17983315,399.99,https://www.bestbuy.ca/en-ca/product/17983315
